"filename", "language", "JSON", "JavaScript JSX", "JavaScript", "CSS", "Properties", "Markdown", "HTML", "comment", "blank", "total"
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\assets\animated\search.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\assets\animated\shippingDetails.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\assets\animated\storeOpen.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\assets\animated\timer.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\assets\animated\updateWorkshopAnimation.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\assets\animated\verticalBar.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\Carousal.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 7, 18
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\CheckoutSteps.css", "CSS", 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\CheckoutSteps.jsx", "JavaScript JSX", 0, 49, 0, 0, 0, 0, 0, 0, 6, 55
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\Footer.jsx", "JavaScript JSX", 0, 99, 0, 0, 0, 0, 0, 2, 23, 124
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\Header.jsx", "JavaScript JSX", 0, 239, 0, 0, 0, 0, 0, 3, 63, 305
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\Layout.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\MetaData.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\cards\EmptyCart.jsx", "JavaScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\cards\OfferCounter.jsx", "JavaScript JSX", 0, 58, 0, 0, 0, 0, 0, 9, 13, 80
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\cards\ProductCard.jsx", "JavaScript JSX", 0, 44, 0, 0, 0, 0, 0, 5, 15, 64
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\cards\ReviewCard.jsx", "JavaScript JSX", 0, 55, 0, 0, 0, 0, 0, 1, 10, 66
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\cards\WorkShopCards.jsx", "JavaScript JSX", 0, 39, 0, 0, 0, 0, 0, 0, 8, 47
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\route\ProtectedRoute.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 4, 13, 62
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\sections\FeatureSection.jsx", "JavaScript JSX", 0, 52, 0, 0, 0, 0, 0, 0, 7, 59
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\sections\FeaturedProducts.jsx", "JavaScript JSX", 0, 59, 0, 0, 0, 0, 0, 0, 15, 74
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\sections\HeroSection.jsx", "JavaScript JSX", 0, 67, 0, 0, 0, 0, 0, 0, 5, 72
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\sections\NewArrivalProucts.jsx", "JavaScript JSX", 0, 59, 0, 0, 0, 0, 0, 0, 14, 73
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\sections\ReviewedProducts.jsx", "JavaScript JSX", 0, 55, 0, 0, 0, 0, 0, 4, 14, 73
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\sections\Services.jsx", "JavaScript JSX", 0, 139, 0, 0, 0, 0, 0, 0, 23, 162
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\components\sections\TopRatedProducts.jsx", "JavaScript JSX", 0, 55, 0, 0, 0, 0, 0, 4, 16, 75
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\appointment\appointment.initialstate.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\appointment\appointment.service.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 2, 5, 22
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\appointment\appointment.slice.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 0, 4, 54
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\appointment\appointment.thunk.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 2, 8, 31
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\auth\auth.initialstate.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\auth\auth.service.js", "JavaScript", 0, 0, 70, 0, 0, 0, 0, 14, 17, 101
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\auth\auth.slice.js", "JavaScript", 0, 0, 221, 0, 0, 0, 0, 4, 7, 232
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\auth\auth.thunk.js", "JavaScript", 0, 0, 116, 0, 0, 0, 0, 14, 23, 153
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\blog\blog.initialstate.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\blog\blog.service.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 9, 11, 65
